Year,arrival_date_month,Month_Number,Profit Percentage
2020,January,1,4.52%
2020,February,2,5.37%
2020,March,3,6.83%
2020,April,4,11.62%
2020,May,5,12.94%
2020,June,6,14.74%
2020,July,7,20.77%
2020,August,8,23.21%
2019,January,1,1.75%
2019,February,2,3.16%
2019,March,3,5.27%
2019,April,4,6.40%
2019,May,5,7.33%
2019,June,6,8.31%
2019,July,7,16.67%
2019,August,8,20.85%
2019,September,9,10.98%
2019,October,10,8.44%
2019,November,11,5.03%
2019,December,12,5.82%
2018,July,7,19.35%
2018,August,8,30.55%
2018,September,9,21.87%
2018,October,10,13.36%
2018,November,11,6.05%
2018,December,12,8.82%
