Year,Room Type,Room Count,Room Profits
2020,A,19600,3764897.01
2020,D,6853,2280908.05
2020,E,2484,1049043.41
2020,F,1066,531088.68
2020,G,818,511985.34
2020,C,469,262280.12
2020,H,212,140389.08
2020,B,187,47816.96
2020,P,2,0
2019,A,29863,4791667.09
2019,D,9054,2596929.71
2019,E,2933,983253.64
2019,F,1466,583187.58
2019,G,1083,501409.52
2019,B,664,116885.63
2019,C,359,201205.54
2019,H,345,158337.54
2019,L,4,514.65
2019,P,4,-525
2018,A,9328,1611277.4
2018,D,2005,567918.77
2018,E,901,349912.51
2018,F,363,131400.84
2018,G,260,130633.79
2018,B,197,29146.56
2018,C,169,84136.13
2018,H,82,47843.94
2018,L,6,717.27
